State,Energy_Source,Usage
Alaska,Biomass,3846
Alaska,Geothermal,186
Alaska,Hydropower,5846
Alaska,Solar Energy,57
Alaska,Wind Energy,475
Alabama,Biomass,193932
Alabama,Geothermal,141
Alabama,Hydropower,34762
Alabama,Solar Energy,3200
Alabama,Wind Energy,0
Arkansas,Biomass,74816
Arkansas,Geothermal,808
Arkansas,Hydropower,11835
Arkansas,Solar Energy,3365
Arkansas,Wind Energy,0
Arizona,Biomass,36364
Arizona,Geothermal,345
Arizona,Hydropower,18075
Arizona,Solar Energy,41092
Arizona,Wind Energy,5338
California,Biomass,497652
California,Geothermal,40288
California,Hydropower,60202
California,Solar Energy,232908
California,Wind Energy,49945
Colorado,Biomass,38711
Colorado,Geothermal,759
Colorado,Hydropower,4588
Colorado,Solar Energy,13159
Colorado,Wind Energy,57701
Connecticut,Biomass,41972
Connecticut,Geothermal,21
Connecticut,Hydropower,1065
Connecticut,Solar Energy,5982
Connecticut,Wind Energy,44
District of Columbia,Biomass,1923
District of Columbia,Geothermal,22
District of Columbia,Hydropower,0
District of Columbia,Solar Energy,678
District of Columbia,Wind Energy,0
Delaware,Biomass,6160
Delaware,Geothermal,430
Delaware,Hydropower,0
Delaware,Solar Energy,797
Delaware,Wind Energy,15
Florida,Biomass,219011
Florida,Geothermal,10056
Florida,Hydropower,788
Florida,Solar Energy,74750
Florida,Wind Energy,0
Georgia,Biomass,256735
Georgia,Geothermal,315
Georgia,Hydropower,10840
Georgia,Solar Energy,25348
Georgia,Wind Energy,0
Hawaii,Biomass,8806
Hawaii,Geothermal,719
Hawaii,Hydropower,376
Hawaii,Solar Energy,8437
Hawaii,Wind Energy,2134
Iowa,Biomass,258515
Iowa,Geothermal,1281
Iowa,Hydropower,3446
Iowa,Solar Energy,2404
Iowa,Wind Energy,156138
Idaho,Biomass,37284
Idaho,Geothermal,1814
Idaho,Hydropower,28523
Idaho,Solar Energy,2453
Idaho,Wind Energy,8331
Illinois,Biomass,155145
Illinois,Geothermal,2042
Illinois,Hydropower,393
Illinois,Solar Energy,10800
Illinois,Wind Energy,80161
Indiana,Biomass,126202
Indiana,Geothermal,4647
Indiana,Hydropower,1265
Indiana,Solar Energy,4803
Indiana,Wind Energy,34070
Kansas,Biomass,48860
Kansas,Geothermal,974
Kansas,Hydropower,81
Kansas,Solar Energy,579
Kansas,Wind Energy,101294
Kentucky,Biomass,58773
Kentucky,Geothermal,2712
Kentucky,Hydropower,15456
Kentucky,Solar Energy,575
Kentucky,Wind Energy,0
Louisiana,Biomass,131549
Louisiana,Geothermal,1842
Louisiana,Hydropower,3126
Louisiana,Solar Energy,1692
Louisiana,Wind Energy,0
Massachusetts,Biomass,57545
Massachusetts,Geothermal,859
Massachusetts,Hydropower,2993
Massachusetts,Solar Energy,18568
Massachusetts,Wind Energy,736
Maryland,Biomass,35988
Maryland,Geothermal,570
Maryland,Hydropower,6072
Maryland,Solar Energy,6928
Maryland,Wind Energy,1698
Maine,Biomass,71303
Maine,Geothermal,72
Maine,Hydropower,10452
Maine,Solar Energy,2771
Maine,Wind Energy,9268
Michigan,Biomass,161389
Michigan,Geothermal,5193
Michigan,Hydropower,4729
Michigan,Solar Energy,4276
Michigan,Wind Energy,31224
Minnesota,Biomass,166428
Minnesota,Geothermal,1075
Minnesota,Hydropower,3243
Minnesota,Solar Energy,7531
Minnesota,Wind Energy,51491
Missouri,Biomass,62209
Missouri,Geothermal,352
Missouri,Hydropower,4721
Missouri,Solar Energy,2355
Missouri,Wind Energy,25674
Mississippi,Biomass,63847
Mississippi,Geothermal,958
Mississippi,Hydropower,0
Mississippi,Solar Energy,1809
Mississippi,Wind Energy,0
Montana,Biomass,12554
Montana,Geothermal,337
Montana,Hydropower,33731
Montana,Solar Energy,299
Montana,Wind Energy,13723
North Carolina,Biomass,138609
North Carolina,Geothermal,967
North Carolina,Hydropower,15990
North Carolina,Solar Energy,40733
North Carolina,Wind Energy,1866
North Dakota,Biomass,33480
North Dakota,Geothermal,978
North Dakota,Hydropower,6112
North Dakota,Solar Energy,10
North Dakota,Wind Energy,55445
Nebraska,Biomass,120119
Nebraska,Geothermal,1212
Nebraska,Hydropower,3608
Nebraska,Solar Energy,404
Nebraska,Wind Energy,43039
New Hampshire,Biomass,33184
New Hampshire,Geothermal,29
New Hampshire,Hydropower,4099
New Hampshire,Solar Energy,906
New Hampshire,Wind Energy,1646
New Jersey,Biomass,54827
New Jersey,Geothermal,466
New Jersey,Hydropower,18
New Jersey,Solar Energy,17803
New Jersey,Wind Energy,74
New Mexico,Biomass,18132
New Mexico,Geothermal,528
New Mexico,Hydropower,412
New Mexico,Solar Energy,8962
New Mexico,Wind Energy,49251
Nevada,Biomass,14392
Nevada,Geothermal,14913
Nevada,Hydropower,5752
Nevada,Solar Energy,36601
Nevada,Wind Energy,1077
New York,Biomass,140237
New York,Geothermal,1185
New York,Hydropower,93596
New York,Solar Energy,19281
New York,Wind Energy,15584
Ohio,Biomass,134824
Ohio,Geothermal,3435
Ohio,Hydropower,1730
Ohio,Solar Energy,4531
Ohio,Wind Energy,10761
Oklahoma,Biomass,54864
Oklahoma,Geothermal,24
Oklahoma,Hydropower,6038
Oklahoma,Solar Energy,598
Oklahoma,Wind Energy,128130
Oregon,Biomass,93054
Oregon,Geothermal,1842
Oregon,Hydropower,106810
Oregon,Solar Energy,8257
Oregon,Wind Energy,27805
Pennsylvania,Biomass,154330
Pennsylvania,Geothermal,2162
Pennsylvania,Hydropower,9051
Pennsylvania,Solar Energy,4319
Pennsylvania,Wind Energy,12188
Rhode Island,Biomass,9395
Rhode Island,Geothermal,57
Rhode Island,Hydropower,25
Rhode Island,Solar Energy,3073
Rhode Island,Wind Energy,714
South Carolina,Biomass,127166
South Carolina,Geothermal,648
South Carolina,Hydropower,7440
South Carolina,Solar Energy,10073
South Carolina,Wind Energy,0
South Dakota,Biomass,78433
South Dakota,Geothermal,1868
South Dakota,Hydropower,14530
South Dakota,Solar Energy,20
South Dakota,Wind Energy,35127
Tennessee,Biomass,82232
Tennessee,Geothermal,213
Tennessee,Hydropower,31384
Tennessee,Solar Energy,2593
Tennessee,Wind Energy,51
Texas,Biomass,268045
Texas,Geothermal,2478
Texas,Hydropower,2116
Texas,Solar Energy,87388
Texas,Wind Energy,391653
Utah,Biomass,14627
Utah,Geothermal,2389
Utah,Hydropower,2031
Utah,Solar Energy,15854
Utah,Wind Energy,2468
Virginia,Biomass,162230
Virginia,Geothermal,1701
Virginia,Hydropower,3880
Virginia,Solar Energy,17653
Virginia,Wind Energy,174
Vermont,Biomass,15188
Vermont,Geothermal,29
Vermont,Hydropower,3892
Vermont,Solar Energy,1504
Vermont,Wind Energy,1396
Washington,Biomass,118813
Washington,Geothermal,1136
Washington,Hydropower,269263
Washington,Solar Energy,1754
Washington,Wind Energy,27504
Wisconsin,Biomass,133538
Wisconsin,Geothermal,615
Wisconsin,Hydropower,6793
Wisconsin,Solar Energy,3749
Wisconsin,Wind Energy,6195
West Virginia,Biomass,15724
West Virginia,Geothermal,32
West Virginia,Hydropower,5620
West Virginia,Solar Energy,166
West Virginia,Wind Energy,6848
Wyoming,Biomass,4790
Wyoming,Geothermal,663
Wyoming,Hydropower,2541
Wyoming,Solar Energy,715
Wyoming,Wind Energy,33370
US,Biomass,4873241
US,Geothermal,118389
US,Hydropower,869339
US,Solar Energy,764563
US,Wind Energy,1481823
